arbetslösa	unemployed (pl)
arbetslös	unemployed
gäller	regarding
pengar	money
varje	each
rapportera	to report
en månad	a month
månader	months
gjort	done
rapporterar	reporting
en varning	a warning
varningar	warnings
riskerar att	be liable to
riskera	to risk
förlora	to lose
förlorar	losing
förlorade	lost
har förlorat	have lost
A-kassan	unemployment fund
A-kassor	unemployment funds
söker	looking, searching
sökte	searched
praktik	practice
praktiker	practices
kurser	courses
kurs	course
A-kassorna	the unemployment funds
arbetslösas rapporter	unemployed reports
anställt	have employed
anställa	to employ
anställer	employing
anställning	employment
personer	persons
person	person
hinna	to have time
hinner	have time
snabbare	faster
snabb	fast
snabbast	fastest
nya reglerna	the new rules
reglerna	the rules
regler	rules
reglera	to regulate
reglerer	regulating
åsikter	point of views
åsikt	point of view
åsikterna	the point of views
åsikten	the point of view
elever	students
vara	to be
alla	all, everyone, everything
allt	all, everything
all	all, everything
skolan	the school
skola	to teach
skolar	teaching
skolade	taught
skolat	have taught
föräldrar	parents
föräldrarna	the parents
skolor	schools
skolorna	the schools
ibland	sometimes
vissa saker	certain things
beror på	depending on
bero på		to depend on
berodde på	dependend on
deras	theirs
tillhöra	to belong to, to pertain to
tillhör	belonging to, pertaining to
sträng	strict
kristen	christian
kyrka	church
kyrkan	the church
bland	among
tillåter	allowing, permitting
tillåta	to allow, to permit
tillät	have allowed, have permitted
slippa	to get rid of
slipper	getting rid of
slapp	got rid of
sluppit	have got rid of
idrott	athletics, sports
betyg	grade
skolverket	education administration
förvaltningsrätten	the administartive law
kammarrätten	administrative court of appeal
ändå	nevertheless
i alla fall	anyways
ämnet	the subject
ämne	subject
ämnen	subjects
lärare	teacher
diskriminera	descriminate
valfusk	electoral fraud
föreställa sig	to imagine
föreställer mig	me imagining
föreställer dig	you imagining
kamp	fight
kamper	fights
kampen	the fight
kamperna	the fights
ledig	time off, vacant
lediga	times off, vacancies
alldeles	entirely
pank	peniless, broke
oroa	to worry
oroar	worrying
oroade	worried
visum	visa
artist	artist
artisten	the artist
artister	artists
artisterna	the artists
uppträda	to appear
uppträder	appearing
uppträdde	appeared
uppträtt	have appeared
myndigheterna	the authorities
oroligar	concerned, worried
oroligare	more worried
oroligast	worriedest
samarbetat	have cooperated/collabarated
samarbeta	to cooperate/collaborate
samarbetar	cooperating/collaborating
samarbetade	cooperated/collarborated
ställa in	to cancel
någonsin	ever
helt absurt	completely absurd
säkerhetstjänst	Security Service
asyl	asylum
regering	government
avslöjanden	exposures, exposings
avslöjande	exposure, exposing
avslöjandet	the exposure, the exposing
arga	angry (pl)
arg	angry
bli	to become
blir	becoming
blivit	have became
blev	became
flygplatsen	the airport
i ett år	for one year
människor	people
sajten	the site
sajt	site
ungefär	around, just about, approximately
förrädare	traitor, betrayer
svika/förråda	to betray
sviker/förråder	betraying
svek/förrådde	betrayed
sviket/förrått	have betrayed
flykting	refugeee
erbjuda	to offer
erbjuder	offering
erbjöd	offered
erbjudit	have offered
erbjudande	offer
erbjudandet	the offer
erbjudanden	offers
erbjudandena	the offers
ungefär som	similar to
programmerare	programmer
efterlyst	wanted
misstänka	to suspect
misstänker	suspecting
misstänkte	suspected
misstänkt	have suspected
spioneri	espionage
indraget	revoked
läcka	to leak
läckte	leaked
besviken	frustated, disappointed
relationerna	the relations
sämre	worse
samtidigt	simultaneously
avlyssning	wiretap
lämna	leave, submit, reach
avlyssningsverksamhet	wire tapping operation
väldigt	mighty, quite, vastly
massövervakningen	the mass surveillance
integritet	the integrity/privacy
den senaste tiden	recently
förbundskansler	Federal Chancellor
besluta	to decide
beslutar	deciding
beslutade	decided
beslutat	have decided
lämpligt	appropriate
nödvändigt	necessary
samla	to collect, to raise
samlar	collecting, raising
samlade	collected, raised
samlat	have collected, have raised
etik	ethics
etiken	the ethics
mängd	amount, value
mängden	the amount, the value
öka	to grow, to increase
ökar	growing, increasing
ökade	grown, increased
ökat	have grown, have increased
lita på	to trust
beklaga	to regret
beklagar	regretting
beklagade	regretted
beklagat	have regeretted
på en gång	at once
bedöma	to judge, estimate
bedömer	judging, estimating
bedömde	judged, estimated
bedömt	have judged, estimated
oskyldig	innocent, not guilty
oskuld	virgin
erkänna	to admit, accept, acknowledge
erkänner	admitting, accepting, acknowledging
erkände	admited, accepted, acknowledged
erkänt	have admited, accepted, acknowledged
mord	murder
mordet	the murder
mordförsök	attempted murder
fängelse	prison
tillräckligt	sufficient
huvudsakligen	mostly, primarily
domstol	court
domstolen	the court
domstolar	courts
bevis	proof
beviset	the proof
jakt	hunting
mörda	to murder
mördar	murdering
mördade	murdered
mördat	have murdered
skjuta	to shoot
skjuter	shooting
sköt	shot
skjutit	have shot
ändra	change
ändrar	changing
ändrade	changed
ändrat	have changed
byta	to switch
byter	switching
bytte	switched
bytt	have switched
äntligen	finally, at last
tillåtelse	permission
förlåtelse	forgiveness
anta	to assume, guess
antar	guess
antog	guessed
antagit	have guessed
deprimerad	depressed
på sistone	lately
gruva	mine
hota	to threaten, menace
rena	to purify
beta	disinfect, feed, graze
kräva	to claim
området	the area
strykjärn	iron
nollning	freshman pranks
hösten	autumn
ett sätt	a way
ta emot	receive, accept, welcome
elak	cruel
på vissa	certain
känd	known, noted
en lön	a salary
skriva	to write
skrev	wrote
verka	to operate, work
fundera	to reflect, consider

